Web ID,Region of Incident,Reported Date,Reported Year,Reported Month,Number Dead,Minimum Estimated Number of Missing,Total Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Cause of Death Consolidated,Cause of Death,Information Source,Migration Route,UNSD Geographical Grouping,Source Quality,Lat,Long
52508,US-Mexico Border,21/10/2019,2019,Oct,1,,1,,,1,,Medical,Sickness,US Border Patrol,,Northern America,5,33.387601,-111.8762944
52503,Mediterranean,18/10/2019,2019,Oct,1,,1,,,1,,Drowning,Drowning,"El Faro de Ceuta, Association Marocaine des Droits Humains - Section Nador",Western Mediterranean,Uncategorized,4,35.88404826,-5.323206655
52502,Sub-Saharan Africa,16/10/2019,2019,Oct,1,,1,1,,1,,Unknown,Unknown,IOM Niger,,Western Africa,4,19.0048181,13.0817903
52491,Mediterranean,14/10/2019,2019,Oct,2,,2,33,2,,2,Drowning,Drowning,"IOM Turkey, Turkish Coast Guard",Eastern Mediterranean,Uncategorized,5,39.20762933,26.68313434
52496,Europe,14/10/2019,2019,Oct,2,,2,,,2,1,Drowning,Drowning,"Franceinfo, Le Monde",,Western Europe,3,50.52441978,1.556037456
52500,US-Mexico Border,14/10/2019,2019,Oct,1,,1,,,1,,Drowning,Drowning,El Mañana,,Central America,1,26.0847814,-98.26417323
52495,US-Mexico Border,12/10/2019,2019,Oct,1,,1,,,1,,Drowning,Drowning,"El Mañana, Milenio",,Central America,3,26.14454982,-98.33210808
52501,Europe,12/10/2019,2019,Oct,1,,1,,,1,1,Electrocution,Electrocution on railway,"IOM North Macedonia, Ministry of Interior of North Macedonia",,Southern Europe,5,41.1444831,22.5056571
52494,Central America,11/10/2019,2019,Oct,4,1,5,8,,4,,Drowning,Drowning,"Instituto Nacional de Migración, El Universal, Al Jazeera, Debate, Proceso",,Central America,5,15.88032119,-93.833002
52499,Horn of Africa,11/10/2019,2019,Oct,11,,11,16,,,,Vehicle,Vehicle Accident,Ethiopian Community Center via IOM Somalia,,Eastern Africa,4,10.48245482,45.16108475
52493,North Africa,09/10/2019,2019,Oct,1,,1,,,1,1,Vehicle,Hit by truck,Association Marocaine des Droits Humains - Section Nador,,Southern Europe,4,40.74076938,23.25637196
52506,Europe,09/10/2019,2019,Oct,1,,1,,,1,,Unknown,Unknown,"Are You Syrious?, Dnevni avaz, Pogled",,Northern Africa,4,35.26274823,-2.937650888
52489,Europe,09/10/2019,2019,Oct,3,,3,12,,1,,Vehicle,Vehicle Accident,"IOM Greece, Ekathimerini",Western Balkans,Southern Europe,3,44.98329064,15.94582846
52492,Central America,08/10/2019,2019,Oct,1,,1,,,1,,Train,Hit by train,Pulso Diario de San Luis,,Central America,1,22.14252639,-100.9622957
52483,Mediterranean,07/10/2019,2019,Oct,13,15,28,22,13,,4,Drowning,Drowning,IOM Italy,Central Mediterranean,Uncategorized,4,35.21054955,12.18054108
52488,US-Mexico Border,07/10/2019,2019,Oct,1,,1,,,1,,Drowning,Drowning,Hoy Tamaulipas,,Northern America,1,26.10367223,-98.28740908
52498,Mediterranean,07/10/2019,2019,Oct,,4,4,89,,,,Drowning,Drowning,IOM Tunisia,Central Mediterranean,Uncategorized,4,33.51293398,11.19496083
52482,US-Mexico Border,06/10/2019,2019,Oct,1,,1,,,1,,Drowning,Drowning,"Vox Pópuli, Minuto Uno Tamaulipas",,Central America,3,25.90089022,-97.52593097
52487,US-Mexico Border,05/10/2019,2019,Oct,1,,1,4,,1,,Dehydration,Dehydration,"US Border Patrol, El Sol del Bajío, Periódico Correo",,Northern Africa,5,28.47075694,-99.92408736
52505,Europe,05/10/2019,2019,Oct,1,,1,10,,1,,Shot,Shot,"Are You Syrious?, klix.ba, Novilist",Western Balkans,Southern Europe,3,42.87054142,18.44293253
52481,US-Mexico Border,04/10/2019,2019,Oct,1,,1,,,1,,Drowning,Drowning,Hoy Tamaulipas,Western Mediterranean,Uncategorized,4,36.77863067,-2.499724435
52480,Mediterranean,04/10/2019,2019,Oct,1,,1,65,,1,1,Unknown,Unknown,"Caminando Fronteras, EFE, AFP",,Central America,1,26.39678369,-99.0781565
52479,US-Mexico Border,03/10/2019,2019,Oct,1,,1,,,1,,Drowning,Drowning,"Hoy Tamaulipas, El Diario de Ciudad Victoria",,Central America,3,17.8872074,-95.1386742
52478,Central America,03/10/2019,2019,Oct,1,,1,,,1,,Train,Hit by train,"Diario de Xalapa, Al Calor Político",,Central America,3,27.43580733,-99.49525171
52485,North Africa,03/10/2019,2019,Oct,1,,1,,1,,,Unknown,Unknown,Association Marocaine des Droits Humains - Section Nador,,Northern Africa,4,35.2295222,-3.1277854
52486,Sub-Saharan Africa,03/10/2019,2019,Oct,1,,1,,,1,,Unknown,Unknown,"Criden, Rewmi",,Western Africa,3,22.7725523,-12.50446488
52477,US-Mexico Border,02/10/2019,2019,Oct,1,,1,,,1,,Dehydration,Dehydration,"Laredo Daily, Familias Unidas en Busca de una Esperanza",,Northern America,3,28.0251478,-99.5489187
52497,North Africa,02/10/2019,2019,Oct,24,,24,2,3,,1,Dehydration,Dehydration,"IOM Niger, El Massa, Xinhua",,Northern Africa,4,19.54966389,5.687579761
52516,Central America,02/10/2019,2019,Oct,1,,1,,,1,,Train,Hit by train,"Línea Directa, Debate",,Central America,3,26.417632,-108.6145938
52468,Europe,01/10/2019,2019,Oct,2,,2,,,2,,Drowning,Drowning,"IOM Serbia, Telegraf",Western Balkans,Southern Europe,4,45.15875231,19.33973737
52504,Europe,30/09/2019,2019,Sep,1,,1,,,1,,Drowning,Drowning,"Are You Syrious?, klix.ba",,Northern Africa,3,33.3699704,-7.5857231
52467,North Africa,30/09/2019,2019,Sep,1,,1,,,1,,Unknown,Plane stowaway,"Le 360, 20minutes",Western Balkans,Southern Europe,3,45.04865428,15.75344281
52466,US-Mexico Border,29/09/2019,2019,Sep,1,,1,,,1,,Drowning,Drowning,"Zócalo, SuperChannel12",,Northern America,3,28.73841796,-100.5070077
52461,Mediterranean,28/09/2019,2019,Sep,1,,1,20,,1,1,Drowning,Drowning,"ObservAlgérie, ALG24",Western Mediterranean,Uncategorized,3,35.98043675,-0.492110075
52462,Mediterranean,28/09/2019,2019,Sep,18,35,53,3,1,6,,Drowning,Drowning,"Caminando Fronteras, APDHA, Association Marocaine des Droits Humains - Section Nador",Western Mediterranean,Uncategorized,4,33.65099554,-7.494747852
52465,US-Mexico Border,28/09/2019,2019,Sep,1,,1,,,1,,Drowning,Drowning,Hoy Tamaulipas,,Central America,1,26.07643601,-98.23241582
52459,Mediterranean,27/09/2019,2019,Sep,7,,7,12,2,,5,Drowning,Drowning,IOM Greece,Eastern Mediterranean,Uncategorized,4,38.5192124,26.32074234
52460,Mediterranean,27/09/2019,2019,Sep,1,,1,5,,,,Drowning,Drowning,TSA Algérie,Western Mediterranean,Uncategorized,1,36.57498437,1.298778126
52464,US-Mexico Border,27/09/2019,2019,Sep,1,,1,,,1,,Drowning,Drowning,"La Tarde, La Vanguardia",,Central America,3,27.26388411,-99.45543994
52458,Mediterranean,26/09/2019,2019,Sep,,7,7,3,,7,,Drowning,Drowning,Diario Información,Western Mediterranean,Uncategorized,3,38.24523967,-0.299798049
52456,Mediterranean,25/09/2019,2019,Sep,1,1,2,6,,,,Drowning,Drowning,"TSA Algérie, Xinhua",Western Mediterranean,Uncategorized,3,36.7356051,1.667305168
52463,Mediterranean,25/09/2019,2019,Sep,1,,1,,,1,,Drowning,Drowning,UNHCR via The Libya Observer,Central Mediterranean,Uncategorized,1,32.91034114,13.2412536
52475,US-Mexico Border,25/09/2019,2019,Sep,1,,1,,,1,,Unknown,Unknown (skeletal remains),Brooks County Sheriff's Office via Breitbart News,,Northern America,1,27.12033535,-98.09065185
52476,US-Mexico Border,25/09/2019,2019,Sep,1,,1,,,1,,Unknown,Unknown (skeletal remains),Brooks County Sheriff's Office via Breitbart News,,Northern America,1,27.15931685,-98.20215489
52474,Mediterranean,24/09/2019,2019,Sep,,1,1,6,,1,1,Drowning,Drowning,"La Verdad, El Watan",,Western Asia,3,36.24134236,36.57438314
52455,Middle East,24/09/2019,2019,Sep,6,,6,27,,,,Vehicle,Vehicle Accident,"Hürriyet, CNN Türk",Western Mediterranean,Uncategorized,3,37.25325268,-0.705211109
52454,US-Mexico Border,23/09/2019,2019,Sep,1,,1,,,1,,Drowning,Drowning,El Diario de Ciudad Victoria,,Uncategorized,1,25.87563552,-97.47302561
52453,US-Mexico Border,22/09/2019,2019,Sep,2,,2,,,2,,Hyperthermia,Hyperthermia,Zócalo,,Northern America,1,28.48296244,-99.91996748
52450,US-Mexico Border,21/09/2019,2019,Sep,1,,1,,,1,,Drowning,Drowning,"El Sol de Tampico, Hoy Tamaulipas",,Central America,3,26.3947486,-98.95528312
52448,Mediterranean,20/09/2019,2019,Sep,,1,1,14,1,,1,Drowning,Drowning,"Aegean Boat Report, Turkish Coast Guard",Eastern Mediterranean,Uncategorized,5,36.97355721,27.40307418
52449,US-Mexico Border,20/09/2019,2019,Sep,1,,1,,,1,,Drowning,Drowning,"Hoy Tamaulipas, El Mañana",,Central America,3,26.2443714,-98.55741901
52452,US-Mexico Border,20/09/2019,2019,Sep,1,,1,,,1,,Drowning,Drowning,La Rancherita del Aire,,Northern America,1,28.70775111,-100.5114006
52446,Europe,19/09/2019,2019,Sep,1,,1,,,1,,Train,Hit by train,AP,Western Balkans,Southern Europe,1,41.57984027,21.94525108
52447,Mediterranean,19/09/2019,2019,Sep,1,,1,,,1,,Shot,Shot,IOM Libya,Central Mediterranean,Uncategorized,4,32.90902102,13.22001356
52440,Mediterranean,18/09/2019,2019,Sep,,4,4,6,,,,Drowning,Drowning,IOM Tunisia,Central Mediterranean,Uncategorized,4,34.17115895,11.25591293
52445,Mediterranean,18/09/2019,2019,Sep,9,4,13,5,,9,,Drowning,Drowning,"El Watan, La Dépêche de Kabylie, Caminando Fronteras",Western Mediterranean,Uncategorized,4,36.98372847,3.638158139
52457,Mediterranean,18/09/2019,2019,Sep,1,,1,1,,1,,Drowning,Drowning,"Público, Uprising Today",Western Mediterranean,Uncategorized,3,35.32043962,-2.948396983
52436,US-Mexico Border,17/09/2019,2019,Sep,1,,1,,,1,,Drowning,Drowning,Contrapunto,,Central America,3,18.50972705,-97.40958306
52437,US-Mexico Border,17/09/2019,2019,Sep,1,,1,,,1,,Drowning,Drowning,"El Paso Times, La Jornada",,Central America,1,28.72746289,-100.5079223
52438,Mediterranean,17/09/2019,2019,Sep,3,5,8,8,,3,,Drowning,Drowning,"Ministry of Defence of Algeria, Association Marocaine des Droits Humains - Section Nador, El Watan",,Northern America,3,31.7536163,-106.417259
52439,Mediterranean,17/09/2019,2019,Sep,3,4,7,9,,,,Drowning,Drowning,IOM Tunisia,Western Mediterranean,Uncategorized,5,36.04229332,-0.509071857
52441,Mediterranean,17/09/2019,2019,Sep,1,,1,,,1,,Drowning,Drowning,Association Marocaine des Droits Humains - Section Nador,Central Mediterranean,Uncategorized,4,34.58976023,10.93716807
52435,Central America,17/09/2019,2019,Sep,1,,1,,,1,,Medical,Sickness and lack of access to medicines,"Milenio, El Sol de Puebla",Western Mediterranean,Uncategorized,4,35.24714775,-3.164730755
52434,US-Mexico Border,16/09/2019,2019,Sep,1,,1,,1,,,Drowning,Drowning,"El Mañana, Vox Pópuli",,Central America,3,26.06655859,-98.07621902
52428,Caribbean,14/09/2019,2019,Sep,3,,3,11,,,,Drowning,Drowning,US Border Patrol,,Caribbean,5,18.51342634,-67.15098561
52433,US-Mexico Border,14/09/2019,2019,Sep,2,,2,,,2,,Drowning,Drowning,"Zócalo, SuperChannel 12",,Central America,3,28.72769161,-100.5080598
52444,US-Mexico Border,14/09/2019,2019,Sep,1,,1,,,1,,Unknown,Unknown (skeletal remains),Brooks County Sheriff's Office via Breitbart News,,Northern America,1,26.96250141,-98.29321137
52427,US-Mexico Border,13/09/2019,2019,Sep,1,,1,,,1,,Dehydration,Dehydration,Brooks County Sheriff's Office via Breitbart News,Central Mediterranean,Uncategorized,4,37.94945891,11.98312713
52426,Mediterranean,13/09/2019,2019,Sep,,4,4,1,,,,Drowning,Presumed drowning,IOM Italy,,Northern America,1,26.97541902,-98.2363228
52451,US-Mexico Border,13/09/2019,2019,Sep,1,,1,,,1,,Unknown,Unknown,Brooks County Sheriff's Office via Breitbart News,,Northern America,1,26.93200097,-98.22622538
52391,US-Mexico Border,12/09/2019,2019,Sep,1,,1,,,1,,Unknown,Unknown (mummified remains),Pima County Office of the Medical Examiner,Central America to US,Northern America,5,31.6549405,-112.0884172
52425,Europe,12/09/2019,2019,Sep,1,,1,8,,,,Vehicle,Vehicle Accident,"Ekathimerini, Voria, IOM Greece",,Southern Europe,4,41.09486694,25.40600506
52405,US-Mexico Border,11/09/2019,2019,Sep,2,,2,35,1,1,1,Drowning,Drowning,"CNN, Univisión, Telemundo",,Northern America,3,29.32603984,-100.9193075
52424,Middle East,09/09/2019,2019,Sep,1,,1,,,1,,Drowning,Drowning,"CNN Türk, Hurriyet",,Western Asia,3,41.68678419,26.43776578
52000,Europe,07/09/2019,2019,Sep,1,,1,,,1,,Violence,Head injury,"Il Corriere de la Sera, La Reppublica",Italy to France,Southern Europe,3,45.07940859,6.700213388
52001,North Africa,07/09/2019,2019,Sep,1,,1,,,1,,Violence,Violence,"Association Marocaine des Droits Humains - Section Nador, Caminando Fronteras",,Northern Africa,4,35.20439176,-2.925109863
51998,US-Mexico Border,06/09/2019,2019,Sep,1,,1,,,1,,Medical,Sickness,US Border Patrol,,Northern America,5,29.4241219,-98.4936282
51999,Mediterranean,06/09/2019,2019,Sep,1,,1,13,1,,,Medical,Sickness and lack of access to medicine,IOM Greece,Eastern Mediterranean,Uncategorized,4,37.7547857,26.9777701
51997,US-Mexico Border,05/09/2019,2019,Sep,1,,1,,,1,,Drowning,Drowning,"Hoy Tamaulipas, El Mañana",,Central America,3,26.09500131,-98.27301163
52432,Mediterranean,05/09/2019,2019,Sep,,4,4,,,4,,Drowning,Presumed drowning,"El Faro de Ceuta, EFE, Association Marocaine des Droits Humains - Section Nador",Western Mediterranean,Uncategorized,4,35.83772542,-3.356083848
52407,US-Mexico Border,04/09/2019,2019,Sep,1,,1,,,1,,Drowning,Drowning,La Rancherita del Aire,,Northern America,1,28.71938978,-100.5071242
51993,Mediterranean,03/09/2019,2019,Sep,,15,15,2,,,,Drowning,Drowning,"Salvamento Marítimo via eldiario.es, La Voz de Almería, El Watan",Western Mediterranean,Uncategorized,3,36.59246832,-1.720397814
51994,Southeast Asia,03/09/2019,2019,Sep,1,,1,,,1,,Violence,Killed by landmine blast,"AFP, BDnews24",,South-eastern Asia,3,21.19107172,92.18383339
52423,Middle East,02/09/2019,2019,Sep,1,,1,,,1,,Drowning,Drowning,"EASO Social Media Monitoring Reports, Hurriyet, CNN Türk",,Central America,1,19.31403777,-98.19076733
52412,Central America,02/09/2019,2019,Sep,1,,1,,,1,,Fall,Fall from train,Puebla Roja,,Western Asia,3,40.82542009,26.29204261
51984,Mediterranean,01/09/2019,2019,Sep,1,,1,,,1,1,Medical,Cardiac arrest,El Faro de Ceuta,Western Mediterranean,Uncategorized,3,35.8933505,-5.3209666
51992,US-Mexico Border,01/09/2019,2019,Sep,1,,1,,,,,Drowning,Drowning,US Border Patrol,,Northern Africa,3,24.40446035,-0.316673173
51986,North Africa,01/09/2019,2019,Sep,11,,11,3,,,,Vehicle,Vehicle Accident,"El Watan, Réflexion, ALG24",,Northern America,5,31.7516347,-106.4925109
52416,US-Mexico Border,31/08/2019,2019,Aug,1,,1,,,1,,Hyperthermia,Probable hyperthermia,Pima County Office of the Medical Examiner,,Northern America,5,31.5455399,-111.3072939
51985,North Africa,29/08/2019,2019,Aug,1,22,23,9,,1,,Drowning,Drowning,"Alarm Phone, Dakhla News, Hespress, Alyaoum 24, Caminando Fronteras",Western African,Western Africa,4,24.78186673,-16.24662818
51982,US-Mexico Border,28/08/2019,2019,Aug,1,,1,,,1,,Dehydration,Dehydration,"SuperChannel12, Zócalo",,Central America,3,28.72008198,-100.5081309
51979,US-Mexico Border,28/08/2019,2019,Aug,1,,1,,,1,,Drowning,Drowning,"Zócalo, SuperChannel12",Central Mediterranean,Uncategorized,4,34.07497553,14.8044819
51980,Mediterranean,28/08/2019,2019,Aug,,7,7,100,,5,,Drowning,Presumed drowning,"Mediterranea Saving Humans, IOM Italy",,Northern America,3,28.4116514,-99.8124935
51996,South America,28/08/2019,2019,Aug,1,,1,,,1,,Violence,Suicide,"El Universo, Metro Ecuador",,South America,3,-0.1459438,-78.4452592
51978,Mediterranean,27/08/2019,2019,Aug,11,29,40,64,1,2,2,Drowning,Presumed drowning,"IOM Libya, MSF, UNHCR",Central Mediterranean,Uncategorized,4,33.18602507,14.63146337
52431,Mediterranean,27/08/2019,2019,Aug,1,,1,18,,,,Drowning,Presumed drowning,"Tunis Webdo, Xinhua",,Central America,3,19.6162033,-99.3001181
52420,US-Mexico Border,27/08/2019,2019,Aug,1,,1,,,1,,Hyperthermia,Probable hyperthermia,Pima County Office of the Medical Examiner,,Northern America,5,31.9698537,-111.4275888
51981,Central America,27/08/2019,2019,Aug,1,,1,,,1,,Unknown,Unknown,"La Tribuna, Abriendo Brecha TV",Central Mediterranean,Uncategorized,3,34.79485739,11.0666389
52421,US-Mexico Border,26/08/2019,2019,Aug,1,,1,,1,,,Unknown,Unknown (skeletal remains),Pima County Office of the Medical Examiner,,Southern Europe,4,40.8627948,26.0336872
51977,Europe,26/08/2019,2019,Aug,6,,6,10,,6,,Vehicle,Vehicle Accident,IOM Greece,Central America to US,Northern America,5,31.586669,-111.7536372
51968,Europe,25/08/2019,2019,Aug,1,,1,11,1,,,Vehicle,Vehicle Accident,"Police Administration Sisak-Moslavina County, Croatian National Radio Television (HRT) via IOM Croatia",,Southern Europe,4,45.48202952,16.00400117
51974,US-Mexico Border,24/08/2019,2019,Aug,1,,1,1,1,,,Dehydration,Dehydration,"Zócalo, Breitbart",,Northern America,3,28.4116514,-99.8124935
51975,US-Mexico Border,24/08/2019,2019,Aug,1,,1,,,,,Drowning,Presumed drowning,US Border Patrol,,Northern America,5,26.16665869,-98.33714765
51976,US-Mexico Border,24/08/2019,2019,Aug,1,,1,,,,,Unknown,Unknown,US Border Patrol,,Northern America,5,26.8697147,-97.6982272
52419,US-Mexico Border,24/08/2019,2019,Aug,1,,1,,,,,Unknown,Unknown (skeletal remains),Pima County Office of the Medical Examiner,Central America to US,Northern America,5,32.340439,-111.7782682
51965,US-Mexico Border,23/08/2019,2019,Aug,1,,1,,,1,,Drowning,Drowning,Lider,,Central America,3,27.59668841,-99.53728453
51966,US-Mexico Border,23/08/2019,2019,Aug,1,,1,1,,1,,Drowning,Drowning,Tiempo,,Central America,3,28.69367286,-100.5105218
52418,US-Mexico Border,23/08/2019,2019,Aug,1,,1,,,1,,Hyperthermia,Probable hyperthermia,Pima County Office of the Medical Examiner,,Southern Europe,4,41.5026612,22.09088988
51967,Europe,23/08/2019,2019,Aug,1,,1,13,,1,,Vehicle,Vehicle Accident,IOM North Macedonia,Central America to US,Northern America,5,31.6056561,-111.5229817
51973,Mediterranean,22/08/2019,2019,Aug,1,3,4,7,,1,,Drowning,Drowning,"Canal Sur, El Foro de Ceuta, La Voz del Sur, ABC",,Northern America,5,26.22631082,-98.51663382
51972,US-Mexico Border,22/08/2019,2019,Aug,1,,1,,,,,Drowning,Presumed drowning,US Border Patrol,Western Mediterranean,Uncategorized,3,36.15542602,-5.296389511
52417,US-Mexico Border,22/08/2019,2019,Aug,1,,1,,,1,,Hyperthermia,Probable hyperthermia,Pima County Office of the Medical Examiner,Central America to US,Northern America,5,32.0577019,-112.1430215
51971,US-Mexico Border,21/08/2019,2019,Aug,2,,2,,,1,,Unknown,Unknown (skeletal remains),Brooks County Sheriff's Office via Breitbart News,,Northern America,1,26.98205218,-98.09652561
51970,US-Mexico Border,20/08/2019,2019,Aug,1,,1,,,1,,Dehydration,Dehydration,Brooks County Sheriff's Office via Breitbart News,Central America to US,Central America,5,28.71022824,-100.5097405
51959,US-Mexico Border,20/08/2019,2019,Aug,1,1,2,,1,1,1,Drowning,Presumed drowning,"US Border Patrol, Zócalo, GMN Noticias",Central America to US,Central America,3,28.5130277,-100.4550796
51960,US-Mexico Border,20/08/2019,2019,Aug,1,,1,,,1,,Unknown,Unknown,"Zocalo, Super Channel 12",,Northern America,1,27.04984701,-98.16853562
51957,US-Mexico Border,19/08/2019,2019,Aug,1,,1,,,1,,Drowning,Drowning,"Zocalo, Rancherita del Aire",Central America to US,Central America,3,28.53227694,-100.4022508
51958,Middle East,19/08/2019,2019,Aug,5,,5,11,1,3,1,Vehicle,Vehicle Accident,IOM Turkey,,Western Asia,4,38.550109,34.508887
51964,Europe,18/08/2019,2019,Aug,1,,1,,,1,,Drowning,Presumed drowning,Ouest France,,South-eastern Asia,4,13.3888199,102.1175404
51956,Southeast Asia,18/08/2019,2019,Aug,10,,10,,6,4,,Vehicle,Vehicle Accident,"IOM Thailand, Khaosodenglish",Calais to United Kingdom,Uncategorized,3,51.35573104,3.116213493
51955,Mediterranean,17/08/2019,2019,Aug,1,1,2,278,,2,,Drowning,Drowning,"IOM Libya, Libya Observer",Central Mediterranean,Uncategorized,4,33.14084354,12.57012788
52415,US-Mexico Border,17/08/2019,2019,Aug,1,,1,,,,,Unknown,Unknown (skeletal remains),Pima County Office of the Medical Examiner,Central America to US,Northern America,5,32.1276869,-112.1210016
52414,US-Mexico Border,15/08/2019,2019,Aug,1,,1,,1,,,Hyperthermia,Probable hyperthermia,Pima County Office of the Medical Examiner,Central America to US,Northern America,5,31.3957613,-110.1879106
52413,US-Mexico Border,14/08/2019,2019,Aug,1,,1,,,1,,Hyperthermia,Probable hyperthermia,Pima County Office of the Medical Examiner,Central America to US,Northern America,5,32.0577019,-112.1430215
51952,US-Mexico Border,13/08/2019,2019,Aug,1,,1,,,1,,Drowning,Drowning,"La Rancherita der Aire, El Zocalo",,Central America,3,28.67971343,-100.5071247
51953,Mediterranean,13/08/2019,2019,Aug,1,13,14,1,,1,,Unknown,Unknown,IOM Malta,Central Mediterranean,Uncategorized,4,35.08414036,15.85074488
51954,US-Mexico Border,13/08/2019,2019,Aug,1,,1,,,1,,Unknown,Unknown,Breitbart Texas,,Northern America,1,26.80087146,-98.10128216
51951,Central America,12/08/2019,2019,Aug,1,,1,,,1,,Shot,Shot,"El Heraldo, La Prensa, Notibomba",,Central America,3,14.85435954,-90.09018946
52410,US-Mexico Border,12/08/2019,2019,Aug,1,,1,,,1,,Unknown,Unknown,Pima County Office of the Medical Examiner,Central America to US,Northern America,5,32.1108622,-111.6648486
52411,US-Mexico Border,12/08/2019,2019,Aug,1,,1,,,,,Unknown,Unknown (skeletal remains),Pima County Office of the Medical Examiner,Central America to US,Northern America,5,32.1244013,-111.7223575
51991,US-Mexico Border,11/08/2019,2019,Aug,3,,3,,2,1,,Suffocation,Suffocation,"NBC, Kusi News",,Northern America,3,32.6848591,-117.0445837
51950,Central America,10/08/2019,2019,Aug,1,,1,,,1,,Fall,Fall from train,Formato 7,,Northern America,3,26.25710809,-98.63693243
51949,US-Mexico Border,10/08/2019,2019,Aug,1,,1,,,1,,Unknown,Unknown,AP,,Central America,3,17.97811667,-94.26889649
51948,Europe,09/08/2019,2019,Aug,,1,1,19,1,,,Drowning,Drowning,IOM UK,,Northern America,3,27.19853325,-97.81265185
52408,US-Mexico Border,09/08/2019,2019,Aug,1,,1,,,1,,Hyperthermia,Hyperthermia,Pima County Office of the Medical Examiner,,Uncategorized,3,50.98581332,1.263302548
52409,US-Mexico Border,09/08/2019,2019,Aug,1,,1,,,1,,Hyperthermia,Hyperthermia,Pima County Office of the Medical Examiner,Central Mediterranean,Uncategorized,5,32.6509505,14.2678989
51947,US-Mexico Border,09/08/2019,2019,Aug,1,,1,,,1,,Unknown,Unknown,AP,Central America to US,Northern America,5,31.591246,-111.0891365
51990,Mediterranean,09/08/2019,2019,Aug,1,,1,95,,,,Unknown,,UNHCR,Central America to US,Northern America,5,31.9119734,-111.8821531
51945,South America,08/08/2019,2019,Aug,1,,1,,,1,,Fall,Fell from truck,"Venezuela al Dia, Voz de America",,South America,3,4.420165536,-75.38290993
51946,US-Mexico Border,08/08/2019,2019,Aug,1,,1,,,,,Unknown,Unknown,AP,,Northern America,3,26.27081708,-98.59315876
51940,US-Mexico Border,06/08/2019,2019,Aug,1,,1,,,,,Drowning,Drowning,Zócalo,,Northern America,1,28.749602,-100.4536335
51944,US-Mexico Border,06/08/2019,2019,Aug,1,,1,,,1,,Drowning,Drowning,Noticias24Siete,,Central America,1,25.87978378,-97.49439057
51969,Southeast Asia,06/08/2019,2019,Aug,2,,2,7,,2,,Vehicle,Vehicle Accident,"IOM Thailand, Bangkok Post",,South-eastern Asia,4,18.1288078,99.3451118
51938,Mediterranean,05/08/2019,2019,Aug,,2,2,49,,1,1,Drowning,Presumed drowning,"IOM Italy, UNHCR",Central Mediterranean,Uncategorized,4,34.26947268,12.70522443
51939,Middle East,05/08/2019,2019,Aug,1,,1,,,1,,Shot,Shot,"The New Arab, Syrian Observer, Washington Post",,Western Asia,3,36.05663803,36.37989389
52406,US-Mexico Border,05/08/2019,2019,Aug,1,,1,,,1,,Unknown,Unknown (skeletal remains),Pima County Office of the Medical Examiner,Central America to US,Northern America,5,32.4812007,-111.6678407
51937,US-Mexico Border,03/08/2019,2019,Aug,1,,1,8,,1,,Dehydration,Dehydration,"US Border Patrol, Zócalo",,Central America,3,25.55679982,-100.9478206
52422,US-Mexico Border,03/08/2019,2019,Aug,1,,1,,,1,,Drowning,Drowning,Chiapas Sin Censura,,Central America,3,18.09383129,-94.57006161
